annee,ville,temps
1970,BORDEAUX,253.0
1970,BREST,336.0
1970,CAEN,120.0
1970,DIJON,136.0
1970,GRENOBLE,323.0
1970,LE HAVRE,107.0
1970,LILLE,115.0
1970,LYON,224.0
1970,MARSEILLE,400.0
1970,MONTPELLIER,419.0
1970,NANCY,161.0
1970,NANTES,198.0
1970,NICE,542.0
1970,RENNES,180.0
1970,ROUEN,65.0
1970,ST ETIENNE,285.0
1970,STRASBOURG,237.0
1970,TOULOUSE,360.0
1971,BORDEAUX,240.0
1971,BREST,327.0
1971,CAEN,109.0
1971,DIJON,136.0
1971,GRENOBLE,321.0
1971,LE HAVRE,107.0
1971,LILLE,115.0
1971,LYON,223.0
1971,MARSEILLE,393.0
1971,MONTPELLIER,412.0
1971,NANCY,155.0
1971,NANTES,198.0
1971,NICE,542.0
1971,RENNES,175.0
1971,ROUEN,65.0
1971,ST ETIENNE,278.0
1971,STRASBOURG,228.0
1971,TOULOUSE,356.0
1972,BORDEAUX,240.0
1972,BREST,327.0
1972,CAEN,108.0
1972,DIJON,134.0
1972,GRENOBLE,321.0
1972,LE HAVRE,105.0
1972,LILLE,115.0
1972,LYON,224.0
1972,MARSEILLE,393.0
1972,MONTPELLIER,412.0
1972,NANCY,155.0
1972,NANTES,198.0
1972,NICE,538.0
1972,RENNES,175.0
1972,ROUEN,63.0
1972,ST ETIENNE,278.0
1972,STRASBOURG,228.0
1972,TOULOUSE,356.0
1973,BORDEAUX,240.0
1973,BREST,327.0
1973,CAEN,108.0
1973,DIJON,141.0
1973,GRENOBLE,320.0
1973,LE HAVRE,105.0
1973,LILLE,115.0
1973,LYON,226.0
1973,MARSEILLE,394.0
1973,MONTPELLIER,415.0
1973,NANCY,155.0
1973,NANTES,187.0
1973,NICE,543.0
1973,RENNES,177.0
1973,ROUEN,63.0
1973,ST ETIENNE,284.0
1973,STRASBOURG,227.0
1973,TOULOUSE,356.0
1974,BORDEAUX,240.0
1974,BREST,325.0
1974,CAEN,108.0
1974,DIJON,137.0
1974,GRENOBLE,316.0
1974,LE HAVRE,105.0
1974,LILLE,115.0
1974,LYON,224.0
1974,MARSEILLE,394.0
1974,MONTPELLIER,415.0
1974,NANCY,160.0
1974,NANTES,185.0
1974,NICE,541.0
1974,RENNES,177.0
1974,ROUEN,63.0
1974,ST ETIENNE,284.0
1974,STRASBOURG,232.0
1974,TOULOUSE,356.0
1975,BORDEAUX,240.0
1975,BREST,325.0
1975,CAEN,108.0
1975,DIJON,137.0
1975,GRENOBLE,319.0
1975,LE HAVRE,105.0
1975,LILLE,116.0
1975,LYON,224.0
1975,MARSEILLE,395.0
1975,MONTPELLIER,415.0
1975,NANCY,159.0
1975,NANTES,185.0
1975,NICE,543.0
1975,RENNES,177.0
1975,ROUEN,63.0
1975,ST ETIENNE,279.0
1975,STRASBOURG,232.0
1975,TOULOUSE,359.0
1976,BORDEAUX,240.0
1976,BREST,330.0
1976,CAEN,108.0
1976,DIJON,137.0
1976,GRENOBLE,311.0
1976,LE HAVRE,105.0
1976,LILLE,119.0
1976,LYON,224.0
1976,MARSEILLE,394.0
1976,MONTPELLIER,412.0
1976,NANCY,156.0
1976,NANTES,185.0
1976,NICE,543.0
1976,RENNES,178.0
1976,ROUEN,63.0
1976,ST ETIENNE,281.0
1976,STRASBOURG,232.0
1976,TOULOUSE,359.0
1977,BORDEAUX,230.0
1977,BREST,330.0
1977,CAEN,109.0
1977,DIJON,138.0
1977,GRENOBLE,312.0
1977,LE HAVRE,110.0
1977,LILLE,119.0
1977,LYON,223.0
1977,MARSEILLE,394.0
1977,MONTPELLIER,419.0
1977,NANCY,156.0
1977,NANTES,185.0
1977,NICE,541.0
1977,RENNES,178.0
1977,ROUEN,67.0
1977,ST ETIENNE,282.0
1977,STRASBOURG,232.0
1977,TOULOUSE,359.0
1978,BORDEAUX,230.0
1978,BREST,330.0
1978,CAEN,118.0
1978,DIJON,138.0
1978,GRENOBLE,311.0
1978,LE HAVRE,110.0
1978,LILLE,112.0
1978,LYON,224.0
1978,MARSEILLE,393.0
1978,MONTPELLIER,414.0
1978,NANCY,157.0
1978,NANTES,186.0
1978,NICE,541.0
1978,RENNES,178.0
1978,ROUEN,67.0
1978,ST ETIENNE,282.0
1978,STRASBOURG,232.0
1978,TOULOUSE,362.0
1979,BORDEAUX,230.0
1979,BREST,328.0
1979,CAEN,115.0
1979,DIJON,140.0
1979,GRENOBLE,316.0
1979,LE HAVRE,111.0
1979,LILLE,112.0
1979,LYON,226.0
1979,MARSEILLE,398.0
1979,MONTPELLIER,410.0
1979,NANCY,157.0
1979,NANTES,187.0
1979,NICE,546.0
1979,RENNES,177.0
1979,ROUEN,70.0
1979,ST ETIENNE,283.0
1979,STRASBOURG,232.0
1979,TOULOUSE,362.0
1980,BORDEAUX,230.0
1980,BREST,330.0
1980,CAEN,110.0
1980,DIJON,141.0
1980,GRENOBLE,323.0
1980,LE HAVRE,110.0
1980,LILLE,114.0
1980,LYON,226.0
1980,MARSEILLE,400.0
1980,MONTPELLIER,414.0
1980,NANCY,159.0
1980,NANTES,194.0
1980,NICE,551.0
1980,RENNES,175.0
1980,ROUEN,68.0
1980,ST ETIENNE,285.0
1980,STRASBOURG,233.0
1980,TOULOUSE,362.0
1981,BORDEAUX,230.0
1981,BREST,334.0
1981,CAEN,110.0
1981,DIJON,140.0
1981,GRENOBLE,319.0
1981,LE HAVRE,111.0
1981,LILLE,118.0
1981,LYON,226.0
1981,MARSEILLE,401.0
1981,MONTPELLIER,411.0
1981,NANCY,162.0
1981,NANTES,196.0
1981,NICE,551.0
1981,RENNES,175.0
1981,ROUEN,68.0
1981,ST ETIENNE,288.0
1981,STRASBOURG,231.0
1981,TOULOUSE,362.0
1982,BORDEAUX,242.0
1982,BREST,339.0
1982,CAEN,112.0
1982,DIJON,130.0
1982,GRENOBLE,253.0
1982,LE HAVRE,110.0
1982,LILLE,119.0
1982,LYON,170.0
1982,MARSEILLE,333.0
1982,MONTPELLIER,334.0
1982,NANCY,152.0
1982,NANTES,197.0
1982,NICE,489.0
1982,RENNES,176.0
1982,ROUEN,68.0
1982,ST ETIENNE,208.0
1982,STRASBOURG,225.0
1982,TOULOUSE,359.0
1983,BORDEAUX,243.0
1983,BREST,339.0
1983,CAEN,113.0
1983,DIJON,130.0
1983,GRENOBLE,252.0
1983,LE HAVRE,110.0
1983,LILLE,119.0
1983,LYON,167.0
1983,MARSEILLE,330.0
1983,MONTPELLIER,328.0
1983,NANCY,155.0
1983,NANTES,197.0
1983,NICE,488.0
1983,RENNES,176.0
1983,ROUEN,68.0
1983,ST ETIENNE,206.0
1983,STRASBOURG,228.0
1983,TOULOUSE,359.0
1984,BORDEAUX,247.0
1984,BREST,340.0
1984,CAEN,113.0
1984,DIJON,96.0
1984,GRENOBLE,210.0
1984,LE HAVRE,114.0
1984,LILLE,120.0
1984,LYON,120.0
1984,MARSEILLE,290.0
1984,MONTPELLIER,287.0
1984,NANCY,154.0
1984,NANTES,183.0
1984,NICE,440.0
1984,RENNES,176.0
1984,ROUEN,68.0
1984,ST ETIENNE,169.0
